artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
Barbara Marineau,0.733,0.473,415253,0.338,0,0.175,-15.343,0.116,146.16,0.498,35,7,1,1,[]
Barbara Mason,0.60688496,0.55012,183627.16,0.41668,5.37E-05,0.181988,-8.76528,0.03354,117.91684,0.59572,24.6,7,1,50,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm']"
Barbara Ruick,0.938166667,0.352166667,261864.6667,0.204,0.000473123,0.15695,-17.37183333,0.041566667,97.01383333,0.357666667,1.333333333,7,1,6,['vintage hollywood']
Barbara Tucker,0.00327,0.774,546587,0.744,0.00416,0.0858,-8.171,0.0632,124.015,0.618,44,4,0,2,"['chicago house', 'deep house', 'disco house', 'diva house', 'tribal house', 'vocal house']"
Barbosa Junior,0.9335,0.7635,164028.8333,0.317833333,0.118886915,0.1266,-16.25416667,0.2329,100.2423333,0.9305,0,0,0,12,[]
Barbra Streisand,0.722081296,0.364187963,227347.9259,0.295540278,0.0166308,0.206386574,-13.62372685,0.069607407,107.0297824,0.295737037,30.95833333,9,1,216,"['adult standards', 'mellow gold', 'soft rock']"
Barcelona,0.939,0.105,275520,0.169,0.828,0.107,-14.915,0.0347,77.707,0.0374,46,4,1,2,['acoustic pop']
Barclay James Harvest,0.2373,0.3705,363333.5,0.392,7.69E-05,0.129,-11.7185,0.03,128.39,0.1875,35.5,7,1,4,"['album rock', 'art rock', 'progressive rock', 'symphonic rock']"
Bare Noize,0.0154,0.618,234891,0.928,3.95E-06,0.201,-5.19,0.211,140.031,0.37,45,0,1,1,['filthstep']
Barenaked Ladies,0.162864556,0.548462963,225187.4444,0.770111111,0.003588594,0.266731481,-7.410518519,0.052816667,132.8342778,0.683740741,44.38888889,7,1,54,"['alternative rock', 'canadian pop', 'canadian rock', 'comic', 'pop rock', 'post-grunge']"
Bari,0.0779,0.822,162591,0.503,0,0.161,-6.889,0.285,71.524,0.408,68,11,0,1,[]
Barlito,0.46,0.849,229799,0.7,0,0.653,-6.138,0.259,142.996,0.704,69,7,0,1,[]
BarlowGirl,0.0119,0.241,270213,0.477,5.38E-05,0.121,-5.804,0.0346,195.667,0.214,43,7,1,2,"['ccm', 'christian alternative rock', 'christian music', 'worship']"
Barnes Blvd.,0.896,0.734,142028,0.22,0,0.339,-17.295,0.226,106.977,0.625,62,5,1,2,"['chillhop', 'lo-fi beats']"
Barney,0.401930769,0.825076923,70587.61538,0.341384615,3.71E-05,0.123376923,-12.69330769,0.0599,111.1346923,0.739538462,41.15384615,0,1,26,"['cartoon', ""children's music""]"
Barney Bentall & The Legendary Hearts,0.0175,0.476,275933,0.52,1.88E-06,0.087,-15.294,0.0346,121.304,0.587,37,5,1,2,['classic canadian rock']
Barney Kessel,0.744192308,0.551346154,275448.6538,0.167718462,0.477877885,0.148426923,-23.785,0.052703846,104.2117692,0.422615385,13.69230769,5,1,26,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz guitar', 'soul jazz']"
Barney Martin,0.79,0.334,218360,0.376,0,0.104,-12.201,0.0514,81.406,0.454,25,9,1,2,[]
Barney Wilen,0.652,0.601,213707,0.498,0.936,0.132,-11.154,0.0391,119.167,0.583,7,0,0,1,"['french jazz', 'jazz saxophone']"
Barns Courtney,0.292,0.5175,186806.5,0.6325,0.000164,0.153,-5.6985,0.03535,139.3615,0.3715,65.5,10,1,4,"['modern alternative rock', 'modern rock', 'rock']"
Baron Lee,0.965,0.709,166733.5,0.3005,0.25100487,0.1745,-11.1165,0.208,136.656,0.815,2,5,1,2,[]
Barre Phillips,0.67,0.343,565573,0.271,0.857,0.111,-16.621,0.0422,142.178,0.296,45,0,1,2,"['avant-garde jazz', 'ecm-style jazz', 'free improvisation', 'free jazz', 'jazz double bass']"
Barrett Strong,0.3,0.6545,157913.5,0.8725,0,0.141,-5.646,0.0353,132.276,0.949,47,5,1,4,['motown']
Barrett Wilbert Weed,0.632733333,0.5322,201576,0.4476,0,0.20114,-8.424933333,0.10926,106.7587333,0.454133333,56.46666667,8,1,15,"['broadway', 'hollywood', 'pop', 'show tunes']"
Barrington Levy,0.123112174,0.735956522,232724.8261,0.576391304,0.01963648,0.1454,-8.03773913,0.188069565,110.9114783,0.63973913,48.39130435,10,0,23,"['dub', 'lovers rock', 'reggae', 'reggae fusion', 'roots reggae']"
Barrio Boyzz,0.162,0.6015,252320,0.838,0.000295625,0.1214,-8.486,0.042,92.3115,0.83,45,11,1,4,[]
Barrio Pobre,0.278,0.56,281480,0.511,0,0.0817,-10.34,0.0327,141.624,0.453,54,6,1,2,['rock urbano mexicano']
Barron Ricks,0.0123,0.547,257747,0.63,0.00233,0.14,-8.772,0.493,192.733,0.555,62,10,0,2,[]
Barry Adamson,2.13E-05,0.691,273373,0.462,0.882,0.149,-12.152,0.0354,99.577,0.415,31,0,1,2,['british alternative rock']
Barry Bostwick,0.308285714,0.394,218705.2857,0.272428571,0.00025014,0.133085714,-15.79028571,0.0677,140.944,0.346142857,44.85714286,4,1,7,['hollywood']
Barry Dennen,0.8454,0.3954,204744.2,0.288,0.0188106,0.14674,-14.22,0.18022,105.3742,0.2608,33,10,0,5,[]
Barry Douglas,0.973,0.2,673733,0.0916,0.875,0.0756,-22.312,0.0376,65.211,0.0515,0.5,5,0,2,['classical piano']
Barry E. Fry,0.933,0.414,233718,0.216,0.199,0.202,-17.001,0.0331,119.512,0.182,0,0,0,2,[]
Barry Frank,0.695,0.6335,161036.5,0.4155,0,0.1824,-6.649,0.04695,118.3505,0.7435,0,7,1,2,[]
Barry Gibb,0.206514286,0.667142857,260504.7143,0.408571429,8.50E-05,0.209428571,-14.57971429,0.035557143,115.8248571,0.687857143,52.85714286,10,1,7,['soft rock']
Barry Goudreau,0.149,0.529,210573,0.7,0,0.32,-4.669,0.0315,131.092,0.807,22,9,1,2,[]
Barry Harris,0.01,0.735,256640,0.944,0.00307,0.048,-4.872,0.041,129.994,0.76,58,8,1,2,[]
Barry Harris Trio,0.871166667,0.5505,246333.3333,0.316333333,0.865833333,0.105083333,-13.2925,0.0408,93.59816667,0.462666667,10,7,1,12,['jazz trio']
Barry Humphries,0.847,0.721,144000,0.15,0,0.304,-16.523,0.05,81.653,0.62,9,5,0,1,[]
Barry Louis Polisar,0.458,0.5035,147540,0.385,0,0.0743,-10.6475,0.03825,181.642,0.696,44,7,1,4,[]
